TestID,Page,Project,Client,ProjectNo,Technician,DateTested,SoilDescription,PlateDiameterMm,PlateThicknessMm,TestLocation,Sequence,InferredElapsedMin,Stage,Cycle,Load_kN,DialGauge1_mm,DialGauge2_mm,DialGauge3_mm,SourceNote
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",1,0,Initial,1,0,0.00,0.01,0.01,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",2,5,Loading,1,2,0.02,0.03,0.03,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",3,10,Loading,1,4,0.05,0.04,0.05,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",4,15,Loading,1,13,0.13,0.12,0.13,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",5,20,Loading,1,31,0.45,0.44,0.41,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",6,25,Loading,1,50,1.20,1.19,1.18,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",7,30,Loading,1,68,1.69,1.68,1.68,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",8,35,Loading,1,87,2.51,2.52,2.53,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",9,40,Loading,1,110,3.16,3.14,3.25,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",10,45,Unloading,1,40,2.94,2.97,2.97,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",11,50,Unloading,1,17,2.65,2.69,2.61,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",12,55,Unloading,1,2,2.20,2.21,2.05,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",13,60,Reloading,2,4,2.20,2.21,2.05,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",14,65,Reloading,2,13,2.22,2.22,2.07,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",15,70,Reloading,2,31,2.39,2.40,2.27,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",16,75,Reloading,2,50,2.55,2.57,2.48,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",17,80,Reloading,2,68,2.80,2.80,2.76,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT1,1,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",18,85,Reloading,2,87,2.99,2.99,2.99,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",1,0,Initial,1,0,0.00,0.00,0.00,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",2,5,Loading,1,2,0.10,0.11,0.13,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",3,10,Loading,1,4,0.17,0.18,0.21,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",4,15,Loading,1,13,0.36,0.40,0.46,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",5,20,Loading,1,31,0.90,0.99,1.13,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",6,25,Loading,1,50,1.71,1.96,2.18,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",7,30,Loading,1,68,2.51,2.84,3.12,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",8,35,Loading,1,87,3.11,3.52,3.81,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",9,40,Loading,1,110,4.20,4.73,5.04,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",10,45,Unloading,1,40,3.85,4.29,4.57,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",11,50,Unloading,1,17,3.58,3.95,4.25,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",12,55,Unloading,1,2,3.08,3.36,3.61,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",13,60,Reloading,2,4,3.09,3.43,3.70,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",14,65,Reloading,2,13,3.13,3.49,3.76,"Elapsed time not recorded on scan; inferred from reading sequence"
PLT2,2,Marsden Park,FLOMAR PTY LTD,32913,SHIAM,2025-11-26,"Gravelly sand, dark grey",600,25,"S3 piling pad, west side of SMU building",15,70,Reloading,2,31,3.30,3.70,3.98,"Elapsed time not recorded on scan; inferred from reading sequence"
